Month,Day,Count
1,1,42
1,2,135
1,3,163
1,4,141
1,5,163
1,6,138
1,7,140
1,8,127
1,9,106
1,10,125
1,11,140
1,12,150
1,13,115
1,14,147
1,15,118
1,16,113
1,17,131
1,18,197
1,19,158
1,20,115
1,21,153
1,22,125
1,23,115
1,24,124
1,25,126
1,26,124
1,27,129
1,28,147
1,29,175
1,30,112
1,31,121
2,1,124
2,2,129
2,3,133
2,4,136
2,5,114
2,6,108
2,7,128
2,8,139
2,9,127
2,10,157
2,11,202
2,12,176
2,13,149
2,14,172
2,15,158
2,16,146
2,17,84
2,18,128
2,19,120
2,20,107
2,21,124
2,22,131
2,23,114
2,24,121
2,25,132
2,26,124
2,27,134
2,28,135
2,29,51
2,30,0
2,31,0
3,1,143
3,2,135
3,3,133
3,4,143
3,5,123
3,6,87
3,7,104
3,8,150
3,9,136
3,10,148
3,11,129
3,12,152
3,13,139
3,14,145
3,15,156
3,16,137
3,17,127
3,18,120
3,19,95
3,20,101
3,21,100
3,22,102
3,23,119
3,24,88
3,25,138
3,26,137
3,27,88
3,28,114
3,29,119
3,30,137
3,31,104
4,1,118
4,2,129
4,3,126
4,4,124
4,5,126
4,6,102
4,7,127
4,8,109
4,9,121
4,10,106
4,11,93
4,12,94
4,13,135
4,14,120
4,15,132
4,16,131
4,17,87
4,18,87
4,19,116
4,20,88
4,21,108
4,22,106
4,23,107
4,24,82
4,25,107
4,26,130
4,27,97
4,28,98
4,29,91
4,30,133
4,31,0
5,1,100
5,2,110
5,3,141
5,4,109
5,5,130
5,6,144
5,7,126
5,8,125
5,9,145
5,10,118
5,11,114
5,12,120
5,13,110
5,14,129
5,15,100
5,16,107
5,17,96
5,18,98
5,19,90
5,20,109
5,21,119
5,22,114
5,23,134
5,24,109
5,25,125
5,26,141
5,27,142
5,28,169
5,29,132
5,30,124
5,31,122
6,1,114
6,2,120
6,3,141
6,4,103
6,5,109
6,6,153
6,7,142
6,8,128
6,9,129
6,10,134
6,11,143
6,12,114
6,13,99
6,14,127
6,15,108
6,16,125
6,17,107
6,18,119
6,19,93
6,20,137
6,21,134
6,22,119
6,23,134
6,24,109
6,25,133
6,26,136
6,27,122
6,28,142
6,29,153
6,30,146
6,31,0
7,1,153
7,2,122
7,3,110
7,4,67
7,5,134
7,6,150
7,7,154
7,8,118
7,9,120
7,10,129
7,11,118
7,12,132
7,13,111
7,14,138
7,15,120
7,16,134
7,17,152
7,18,111
7,19,109
7,20,120
7,21,132
7,22,123
7,23,148
7,24,131
7,25,145
7,26,133
7,27,134
7,28,125
7,29,156
7,30,116
7,31,124
8,1,142
8,2,131
8,3,114
8,4,124
8,5,103
8,6,139
8,7,102
8,8,125
8,9,112
8,10,149
8,11,132
8,12,127
8,13,132
8,14,97
8,15,116
8,16,138
8,17,200
8,18,190
8,19,237
8,20,129
8,21,110
8,22,137
8,23,137
8,24,141
8,25,122
8,26,135
8,27,145
8,28,141
8,29,115
8,30,146
8,31,119
9,1,128
9,2,116
9,3,136
9,4,122
9,5,114
9,6,110
9,7,122
9,8,138
9,9,130
9,10,109
9,11,116
9,12,154
9,13,146
9,14,131
9,15,107
9,16,119
9,17,146
9,18,124
9,19,136
9,20,138
9,21,125
9,22,119
9,23,125
9,24,124
9,25,104
9,26,123
9,27,152
9,28,105
9,29,146
9,30,98
9,31,0
10,1,126
10,2,84
10,3,88
10,4,99
10,5,134
10,6,123
10,7,145
10,8,141
10,9,142
10,10,121
10,11,101
10,12,111
10,13,121
10,14,106
10,15,96
10,16,107
10,17,112
10,18,149
10,19,136
10,20,132
10,21,82
10,22,109
10,23,126
10,24,92
10,25,103
10,26,131
10,27,110
10,28,114
10,29,114
10,30,95
10,31,111
11,1,108
11,2,90
11,3,78
11,4,100
11,5,103
11,6,97
11,7,104
11,8,115
11,9,93
11,10,82
11,11,58
11,12,112
11,13,112
11,14,91
11,15,103
11,16,86
11,17,97
11,18,100
11,19,114
11,20,87
11,21,122
11,22,115
11,23,117
11,24,84
11,25,128
11,26,136
11,27,134
11,28,97
11,29,148
11,30,127
11,31,0
12,1,113
12,2,98
12,3,95
12,4,118
12,5,116
12,6,143
12,7,143
12,8,139
12,9,121
12,10,122
12,11,134
12,12,121
12,13,157
12,14,134
12,15,132
12,16,107
12,17,161
12,18,133
12,19,139
12,20,179
12,21,152
12,22,161
12,23,143
12,24,70
12,25,2
12,26,124
12,27,151
12,28,156
12,29,122
12,30,146
12,31,173
