State,Avg_Adoptions_Dogs,Avg_Adoptions_Cats,Avg_Community_Intakes_Dogs,Avg_Community_Intakes_Cats,Num_Orgs_Reporting,Shelters,Rescues,PerCapita_Adoptions,PerCapita_Community_Intakes,PerCapita_NonLive_Outcomes
Alaska,109,165,221,266,43,24,19,14.1,25.4,3.9
Alabama,210,166,360,264,220,91,129,14.4,24.0,4.2
Arkansas,176,149,254,206,202,99,103,19.7,28.0,3.4
Arizona,190,173,248,225,386,83,303,19.7,28.0,3.4
California,176,214,287,263,1634,293,1341,12.6,17.8,2.7
Colorado,199,304,296,391,300,98,202,18.5,25.7,2.8
Connecticut,83,101,113,155,204,88,116,8.3,12.0,1.6
District of Columbia,453,1231,681,1540,13,3,10,19.8,27.0,3.5
Delaware,188,311,167,313,37,6,31,15.7,15.1,1.5
Florida,178,280,205,398,796,143,653,12.4,16.1,1.7
Georgia,189,225,280,298,404,117,287,12.5,17.6,2.2
Hawaii,295,415,437,690,30,8,22,10.7,16.9,3.8
Iowa,192,295,273,391,102,65,37,16.9,23.0,2.8
Idaho,182,270,266,372,89,41,48,18.6,26.4,2.5
Illinois,147,225,150,244,417,98,319,9.2,9.7,1.3
Indiana,160,250,222,342,271,92,179,13.2,18.2,2.3
Kansas,207,241,344,344,163,105,58,23.4,36.1,4.9
Kentucky,184,207,319,322,242,114,128,18.9,31.2,4.5
Louisiana,176,221,336,429,200,76,124,14.1,27.1,4.1
Maine,100,351,113,384,55,21,34,12.9,14.2,1.0
Maryland,137,334,188,436,201,33,168,10.8,14.3,1.9
Massachusetts,117,274,96,234,157,51,106,6.3,5.3,0.5
Michigan,131,202,195,254,341,97,244,8.8,11.9,1.5
Minnesota,179,302,223,358,245,101,144,16.9,20.5,2.5
Mississippi,191,163,285,236,122,63,59,14.8,21.7,2.8
Missouri,196,237,317,339,340,178,162,21.9,33.3,4.5
Montana,175,241,300,331,60,38,22,22.3,34.0,2.6
Nebraska,182,263,310,380,105,57,48,20.5,32.1,4.3
Nevada,183,277,308,420,142,38,104,14.8,23.8,2.8
New Hampshire,107,369,86,315,55,20,35,12.4,10.4,0.7
New Jersey,97,194,103,243,390,77,313,8.3,9.7,1.1
New Mexico,262,264,511,441,118,60,58,28.2,51.6,9.0
New York,111,219,119,241,591,152,439,7.3,7.9,0.8
North Carolina,163,206,217,259,460,100,360,12.7,16.4,2.3
North Dakota,139,220,196,254,35,15,20,16.8,21.2,2.1
Ohio,157,247,190,248,427,113,314,10.9,12.0,1.3
Oklahoma,178,167,300,254,248,119,129,19.9,32.1,4.9
Oregon,137,254,182,304,184,50,134,12.5,15.7,1.4
Pennsylvania,129,260,135,304,464,107,357,9.6,10.7,1.1
Rhode Island,96,188,123,237,56,22,34,10.7,13.7,1.5
South Carolina,201,209,307,315,222,62,160,13.7,20.8,2.6
South Dakota,141,164,224,256,41,24,17,16.3,25.6,2.8
Tennessee,188,198,272,265,374,125,249,17.0,23.8,2.9
Texas,237,238,282,394,1195,383,812,14.7,24.0,3.4
Utah,149,254,234,371,137,69,68,14.7,22.1,2.5
Vermont,89,214,64,176,47,14,33,16.2,12.6,1.1
Virginia,165,254,221,264,380,70,310,18.5,20.0,2.5
Washington,158,309,193,317,260,65,195,12.0,13.1,1.3
West Virginia,183,198,264,259,88,37,51,17.1,23.5,2.6
Wisconsin,145,333,188,399,184,67,117,12.6,15.5,1.8
Wyoming,172,241,280,344,50,38,12,33.7,51.1,6.4
